year,month,day,hour,NO2_prediction
2019,7,25,0,1.6834368
2019,7,25,1,2.6967862
2019,7,25,2,3.7961116
2019,7,25,3,8.219974
2019,7,25,4,11.596928
2019,7,25,5,12.941472
2019,7,25,6,13.069171
2019,7,25,7,13.184213
2019,7,25,8,13.444657
2019,7,25,9,14.049554
2019,7,25,10,15.253161
2019,7,25,11,17.243223
2019,7,25,12,20.282969
2019,7,25,13,24.211212
2019,7,25,14,28.591751
2019,7,25,15,32.13807
2019,7,25,16,32.73921
2019,7,25,17,30.933163
2019,7,25,18,28.051579
2019,7,25,19,25.792255
2019,7,25,20,24.695358
2019,7,25,21,24.2333
2019,7,25,22,23.417805
2019,7,25,23,22.653412
2019,8,2,0,19.994621
2019,8,2,1,19.329494
2019,8,2,2,18.271206
2019,8,2,3,17.30429
2019,8,2,4,16.38836
2019,8,2,5,15.652713
2019,8,2,6,15.177846
2019,8,2,7,14.8908205
2019,8,2,8,14.824191
2019,8,2,9,15.050747
2019,8,2,10,15.7633295
2019,8,2,11,17.328213
2019,8,2,12,20.180359
2019,8,2,13,23.753836
2019,8,2,14,27.123964
2019,8,2,15,29.607462
2019,8,2,16,30.181122
2019,8,2,17,28.589489
2019,8,2,18,25.876362
2019,8,2,19,23.270014
2019,8,2,20,21.353764
2019,8,2,21,20.17737
2019,8,2,22,19.455812
2019,8,2,23,18.774061
2019,8,8,0,25.7061
2019,8,8,1,28.860643
2019,8,8,2,30.468636
2019,8,8,3,30.480667
2019,8,8,4,29.44889
2019,8,8,5,28.14141
2019,8,8,6,26.922417
2019,8,8,7,25.966148
2019,8,8,8,25.51249
2019,8,8,9,25.816002
2019,8,8,10,27.160423
2019,8,8,11,30.308195
2019,8,8,12,36.330204
2019,8,8,13,44.10419
2019,8,8,14,50.568043
2019,8,8,15,53.36598
2019,8,8,16,52.193054
2019,8,8,17,47.30855
2019,8,8,18,41.36909
2019,8,8,19,37.402035
2019,8,8,20,35.923367
2019,8,8,21,33.794056
2019,8,8,22,31.34282
2019,8,8,23,30.31847
2019,8,9,0,27.498528
2019,8,9,1,27.43795
2019,8,9,2,26.447624
2019,8,9,3,25.311031
2019,8,9,4,23.903927
2019,8,9,5,22.5438
2019,8,9,6,21.40748
2019,8,9,7,20.57287
2019,8,9,8,20.137875
2019,8,9,9,20.26971
2019,8,9,10,21.49127
2019,8,9,11,25.026588
2019,8,9,12,31.485788
2019,8,9,13,38.969265
2019,8,9,14,44.302837
2019,8,9,15,46.713005
2019,8,9,16,46.216316
2019,8,9,17,43.301403
2019,8,9,18,39.04459
2019,8,9,19,35.01982
2019,8,9,20,32.36414
2019,8,9,21,30.511438
2019,8,9,22,28.28109
2019,8,9,23,26.580055
2019,8,11,0,22.53117
2019,8,11,1,21.983032
2019,8,11,2,20.63919
2019,8,11,3,19.480774
2019,8,11,4,18.288132
2019,8,11,5,17.253513
2019,8,11,6,16.503307
2019,8,11,7,15.973136
2019,8,11,8,15.690297
2019,8,11,9,15.774953
2019,8,11,10,16.55125
2019,8,11,11,18.646366
2019,8,11,12,22.171698
2019,8,11,13,26.209538
2019,8,11,14,30.072197
2019,8,11,15,32.88609
2019,8,11,16,33.330753
2019,8,11,17,31.334476
2019,8,11,18,27.9029
2019,8,11,19,24.616165
2019,8,11,20,22.339186
2019,8,11,21,20.962101
2019,8,11,22,20.105808
2019,8,11,23,19.282093
2019,8,22,0,21.315132
2019,8,22,1,21.810757
2019,8,22,2,22.071194
2019,8,22,3,21.754091
2019,8,22,4,21.127121
2019,8,22,5,20.456015
2019,8,22,6,19.917984
2019,8,22,7,19.636322
2019,8,22,8,19.748037
2019,8,22,9,20.443285
2019,8,22,10,21.984951
