datetime,NO2_prediction
25-07-2019 00:00,2.528403044
25-07-2019 01:00,4.942939758
25-07-2019 02:00,6.589670658
25-07-2019 03:00,7.31252861
25-07-2019 04:00,7.246365547
25-07-2019 05:00,7.921615601
25-07-2019 06:00,11.1220541
25-07-2019 07:00,13.08086681
25-07-2019 08:00,14.05524063
25-07-2019 09:00,14.70201969
25-07-2019 10:00,15.43791008
25-07-2019 11:00,16.50647736
25-07-2019 12:00,17.81091881
25-07-2019 13:00,20.35015678
25-07-2019 14:00,23.26325035
25-07-2019 15:00,25.90492821
25-07-2019 16:00,28.06653786
25-07-2019 17:00,29.76359558
25-07-2019 18:00,31.10721397
25-07-2019 19:00,32.11333847
25-07-2019 20:00,32.85037994
25-07-2019 21:00,33.30026627
25-07-2019 22:00,33.5712204
25-07-2019 23:00,33.72901154
02-08-2019 00:00,30.9132328
02-08-2019 01:00,31.06311226
02-08-2019 02:00,30.449543
02-08-2019 03:00,29.62042427
02-08-2019 04:00,27.78165627
02-08-2019 05:00,25.09974289
02-08-2019 06:00,22.82222748
02-08-2019 07:00,21.0442009
02-08-2019 08:00,20.05981064
02-08-2019 09:00,20.22069359
02-08-2019 10:00,22.59716606
02-08-2019 11:00,29.22299004
02-08-2019 12:00,40.652771
02-08-2019 13:00,54.23835754
02-08-2019 14:00,64.40818024
02-08-2019 15:00,68.46121979
02-08-2019 16:00,68.26689911
02-08-2019 17:00,65.63466644
02-08-2019 18:00,61.20713043
02-08-2019 19:00,54.61637115
02-08-2019 20:00,46.76426697
02-08-2019 21:00,40.11733246
02-08-2019 22:00,35.56005478
02-08-2019 23:00,32.75585938
09-08-2019 00:00,34.29800415
09-08-2019 01:00,32.55495453
09-08-2019 02:00,32.06942368
09-08-2019 03:00,31.21880913
09-08-2019 04:00,29.12505913
09-08-2019 05:00,26.23105049
09-08-2019 06:00,23.4693222
09-08-2019 07:00,21.52261543
09-08-2019 08:00,20.46653938
09-08-2019 09:00,21.15647697
09-08-2019 10:00,24.27131081
09-08-2019 11:00,29.87031555
09-08-2019 12:00,39.4043808
09-08-2019 13:00,48.68857193
09-08-2019 14:00,57.27011871
09-08-2019 15:00,61.23538971
09-08-2019 16:00,61.29194641
09-08-2019 17:00,58.88226318
09-08-2019 18:00,53.82142639
09-08-2019 19:00,46.80680466
09-08-2019 20:00,40.15239716
09-08-2019 21:00,35.14098358
09-08-2019 22:00,31.75076485
09-08-2019 23:00,29.77012062
11-08-2019 00:00,26.64475822
11-08-2019 01:00,27.26418114
11-08-2019 02:00,27.88152122
11-08-2019 03:00,27.93745804
11-08-2019 04:00,26.78787041
11-08-2019 05:00,24.96442413
11-08-2019 06:00,23.36544418
11-08-2019 07:00,21.62569618
11-08-2019 08:00,20.4721241
11-08-2019 09:00,20.56286621
11-08-2019 10:00,23.62209129
11-08-2019 11:00,31.70371628
11-08-2019 12:00,40.69247818
11-08-2019 13:00,53.12850952
11-08-2019 14:00,63.04851913
11-08-2019 15:00,67.497612
11-08-2019 16:00,67.8504715
11-08-2019 17:00,65.04476929
11-08-2019 18:00,59.03190231
11-08-2019 19:00,50.99829865
11-08-2019 20:00,42.28500366
11-08-2019 21:00,36.12961578
11-08-2019 22:00,32.36522675
11-08-2019 23:00,30.47114944
22-08-2019 00:00,37.46294403
22-08-2019 01:00,35.92272949
22-08-2019 02:00,35.95953369
22-08-2019 03:00,35.95009613
22-08-2019 04:00,34.75148392
22-08-2019 05:00,32.32533264
22-08-2019 06:00,29.43886185
22-08-2019 07:00,27.38574028
22-08-2019 08:00,26.30767632
22-08-2019 09:00,27.03787804
22-08-2019 10:00,29.8965168
22-08-2019 11:00,35.79407501
22-08-2019 12:00,45.67446518
22-08-2019 13:00,56.26209259
22-08-2019 14:00,63.58129883
22-08-2019 15:00,66.44364929
22-08-2019 16:00,66.22006226
22-08-2019 17:00,63.54923248
22-08-2019 18:00,58.26719666
22-08-2019 19:00,51.42099762
22-08-2019 20:00,45.85305405
22-08-2019 21:00,41.71358109
22-08-2019 22:00,39.1693573
22-08-2019 23:00,37.42242813
28-08-2019 00:00,44.77104187
28-08-2019 01:00,43.94475555
28-08-2019 02:00,44.59991074
28-08-2019 03:00,44.6753273
28-08-2019 04:00,42.8847084
28-08-2019 05:00,39.11985779
28-08-2019 06:00,34.40233231
28-08-2019 07:00,30.35791969
28-08-2019 08:00,28.14975166
28-08-2019 09:00,27.86600876
28-08-2019 10:00,31.00660515
28-08-2019 11:00,38.08840561
28-08-2019 12:00,48.7533989
28-08-2019 13:00,62.41073608
28-08-2019 14:00,72.13957977
28-08-2019 15:00,75.97556305
28-08-2019 16:00,75.34789276
28-08-2019 17:00,72.12754059
28-08-2019 18:00,66.88404846
28-08-2019 19:00,60.04177094
28-08-2019 20:00,54.60614014
28-08-2019 21:00,50.93069458
28-08-2019 22:00,48.67642975
28-08-2019 23:00,47.60826111
30-08-2019 00:00,30.67465973
30-08-2019 01:00,31.96875572
30-08-2019 02:00,32.77560043
30-08-2019 03:00,33.15353394
30-08-2019 04:00,32.48881912
30-08-2019 05:00,30.70766258
30-08-2019 06:00,28.46463203
30-08-2019 07:00,26.19223785
30-08-2019 08:00,24.81615448
30-08-2019 09:00,24.71384239
30-08-2019 10:00,26.89729691
30-08-2019 11:00,32.28144073
30-08-2019 12:00,44.21654129
30-08-2019 13:00,62.0984726
30-08-2019 14:00,73.03197479
30-08-2019 15:00,74.99291229
30-08-2019 16:00,71.81726837
30-08-2019 17:00,66.90540314
30-08-2019 18:00,61.37644196
30-08-2019 19:00,53.3964386
30-08-2019 20:00,41.02873993
30-08-2019 21:00,31.84118462
30-08-2019 22:00,28.35893059
30-08-2019 23:00,27.40815926
04-09-2019 00:00,49.27732468
04-09-2019 01:00,46.40234375
04-09-2019 02:00,46.19661331
04-09-2019 03:00,45.43057251
04-09-2019 04:00,42.43656921
04-09-2019 05:00,37.46826172
04-09-2019 06:00,32.24339676
04-09-2019 07:00,28.50890732
04-09-2019 08:00,26.51358986
04-09-2019 09:00,26.60622787
04-09-2019 10:00,29.98262978
04-09-2019 11:00,36.75909042
04-09-2019 12:00,46.14966583
04-09-2019 13:00,56.6495285
04-09-2019 14:00,64.40724945
04-09-2019 15:00,67.76969147
04-09-2019 16:00,67.43694305
04-09-2019 17:00,64.39698029
04-09-2019 18:00,59.37253952
04-09-2019 19:00,55.82348633
04-09-2019 20:00,54.43391418
04-09-2019 21:00,54.17261505
04-09-2019 22:00,55.19763184
04-09-2019 23:00,58.63632202
06-09-2019 00:00,33.53770828
06-09-2019 01:00,35.26600647
06-09-2019 02:00,36.45796967
06-09-2019 03:00,37.2510643
06-09-2019 04:00,37.01748657
06-09-2019 05:00,35.48917389
06-09-2019 06:00,33.3736763
06-09-2019 07:00,31.51802635
06-09-2019 08:00,30.43245125
06-09-2019 09:00,30.74326134
06-09-2019 10:00,34.01202011
06-09-2019 11:00,42.42240143
06-09-2019 12:00,58.90335083
06-09-2019 13:00,76.86434937
06-09-2019 14:00,86.24331665
06-09-2019 15:00,87.86556244
06-09-2019 16:00,85.57884979
06-09-2019 17:00,81.168396
06-09-2019 18:00,75.87044525
06-09-2019 19:00,70.12438965
06-09-2019 20:00,62.03918457
06-09-2019 21:00,47.88317871
06-09-2019 22:00,37.7962532
06-09-2019 23:00,34.16764069
07-09-2019 00:00,37.02776337
07-09-2019 01:00,35.60469818
07-09-2019 02:00,35.48722839
07-09-2019 03:00,35.59242249
07-09-2019 04:00,35.23270035
07-09-2019 05:00,33.91986084
07-09-2019 06:00,31.79452324
07-09-2019 07:00,29.5249424
07-09-2019 08:00,28.30018044
07-09-2019 09:00,29.22436905
07-09-2019 10:00,33.44186401
07-09-2019 11:00,42.84329605
07-09-2019 12:00,56.48088837
07-09-2019 13:00,69.49337006
07-09-2019 14:00,77.46926117
07-09-2019 15:00,78.68494415
07-09-2019 16:00,76.07699585
07-09-2019 17:00,72.06804657
07-09-2019 18:00,66.60245514
07-09-2019 19:00,59.85253143
07-09-2019 20:00,52.8821373
07-09-2019 21:00,46.75418472
07-09-2019 22:00,42.3529129
07-09-2019 23:00,39.87133789
13-09-2019 00:00,37.25016785
13-09-2019 01:00,36.90737915
13-09-2019 02:00,36.52180099
13-09-2019 03:00,34.79307556
13-09-2019 04:00,32.50842285
13-09-2019 05:00,29.6041851
13-09-2019 06:00,26.41660118
13-09-2019 07:00,23.86845779
13-09-2019 08:00,22.50457954
13-09-2019 09:00,22.62294388
13-09-2019 10:00,25.01176262
13-09-2019 11:00,31.55129433
13-09-2019 12:00,43.03775024
13-09-2019 13:00,60.85351563
13-09-2019 14:00,74.46759796
13-09-2019 15:00,79.78298187
13-09-2019 16:00,78.56157684
13-09-2019 17:00,73.57135773
13-09-2019 18:00,66.55095673
13-09-2019 19:00,57.37194824
13-09-2019 20:00,46.78662872
13-09-2019 21:00,38.29507446
13-09-2019 22:00,33.16456604
13-09-2019 23:00,30.79072952
15-09-2019 00:00,21.57015419
15-09-2019 01:00,22.65348625
15-09-2019 02:00,22.98592949
15-09-2019 03:00,22.8290062
15-09-2019 04:00,22.07138634
15-09-2019 05:00,20.46155739
15-09-2019 06:00,18.6533947
15-09-2019 07:00,17.03381157
15-09-2019 08:00,15.97737408
15-09-2019 09:00,15.70215702
15-09-2019 10:00,16.47755814
15-09-2019 11:00,19.65060616
15-09-2019 12:00,29.0723896
15-09-2019 13:00,46.39749146
15-09-2019 14:00,58.06917572
15-09-2019 15:00,61.19714355
15-09-2019 16:00,58.95816803
15-09-2019 17:00,53.95619965
15-09-2019 18:00,46.89109802
15-09-2019 19:00,38.22270584
15-09-2019 20:00,30.58349991
15-09-2019 21:00,25.05605125
15-09-2019 22:00,22.893013
15-09-2019 23:00,22.53185654
18-09-2019 00:00,32.69940186
18-09-2019 01:00,32.23209
18-09-2019 02:00,32.54365921
18-09-2019 03:00,31.79348564
18-09-2019 04:00,29.48668289
18-09-2019 05:00,26.03909492
18-09-2019 06:00,22.29915619
18-09-2019 07:00,19.64638901
18-09-2019 08:00,17.81258011
18-09-2019 09:00,17.29751587
18-09-2019 10:00,17.39438438
18-09-2019 11:00,19.26785851
18-09-2019 12:00,26.39470863
18-09-2019 13:00,42.02180481
18-09-2019 14:00,61.06893539
18-09-2019 15:00,67.98940277
18-09-2019 16:00,67.19438934
18-09-2019 17:00,62.59001923
18-09-2019 18:00,55.19215393
18-09-2019 19:00,46.3366127
18-09-2019 20:00,38.92641449
18-09-2019 21:00,34.60626221
18-09-2019 22:00,32.99773407
18-09-2019 23:00,34.0447998
19-09-2019 00:00,31.51109695
19-09-2019 01:00,34.06451416
19-09-2019 02:00,36.79634857
19-09-2019 03:00,38.02396393
19-09-2019 04:00,36.48393631
19-09-2019 05:00,32.26990128
19-09-2019 06:00,27.74301147
19-09-2019 07:00,24.06445503
19-09-2019 08:00,21.23921776
19-09-2019 09:00,19.14529991
19-09-2019 10:00,18.43485451
19-09-2019 11:00,20.71857643
19-09-2019 12:00,30.6850071
19-09-2019 13:00,54.52980042
19-09-2019 14:00,74.01023102
19-09-2019 15:00,79.01474762
19-09-2019 16:00,76.21369171
19-09-2019 17:00,69.67272186
19-09-2019 18:00,60.1673584
19-09-2019 19:00,48.88199615
19-09-2019 20:00,39.72968292
19-09-2019 21:00,34.62281036
19-09-2019 22:00,32.2516098
19-09-2019 23:00,31.64388466
21-09-2019 00:00,36.699646
21-09-2019 01:00,37.23669434
21-09-2019 02:00,38.09232712
21-09-2019 03:00,38.48181534
21-09-2019 04:00,38.42509842
21-09-2019 05:00,36.31699371
21-09-2019 06:00,31.81788254
21-09-2019 07:00,25.69332695
21-09-2019 08:00,20.99440002
21-09-2019 09:00,18.9555912
21-09-2019 10:00,19.08625603
21-09-2019 11:00,22.40399742
21-09-2019 12:00,32.18946075
21-09-2019 13:00,54.97912598
21-09-2019 14:00,76.31520844
21-09-2019 15:00,82.27926636
21-09-2019 16:00,79.47670746
21-09-2019 17:00,73.07318878
21-09-2019 18:00,65.25882721
21-09-2019 19:00,56.24999237
21-09-2019 20:00,48.2526207
21-09-2019 21:00,43.09563446
21-09-2019 22:00,40.93852234
21-09-2019 23:00,40.75751114
24-09-2019 00:00,38.29478455
24-09-2019 01:00,39.02401733
24-09-2019 02:00,39.79388428
24-09-2019 03:00,40.0633316
24-09-2019 04:00,38.83449173
24-09-2019 05:00,35.48773193
24-09-2019 06:00,30.69922066
24-09-2019 07:00,26.2611618
24-09-2019 08:00,22.69877243
24-09-2019 09:00,21.2857151
24-09-2019 10:00,22.15833855
24-09-2019 11:00,26.74606895
24-09-2019 12:00,38.75250244
24-09-2019 13:00,59.91822052
24-09-2019 14:00,79.18495941
24-09-2019 15:00,85.19457245
24-09-2019 16:00,83.54484558
24-09-2019 17:00,78.42930603
24-09-2019 18:00,69.97676849
24-09-2019 19:00,59.21403885
24-09-2019 20:00,48.34218597
24-09-2019 21:00,40.73641586
24-09-2019 22:00,36.69490051
24-09-2019 23:00,35.00663376
26-09-2019 00:00,27.12735939
26-09-2019 01:00,27.41371536
26-09-2019 02:00,27.53200722
26-09-2019 03:00,27.7257328
26-09-2019 04:00,27.50807762
26-09-2019 05:00,26.20357323
26-09-2019 06:00,23.83484077
26-09-2019 07:00,21.58141327
26-09-2019 08:00,19.6143322
26-09-2019 09:00,18.58660126
26-09-2019 10:00,19.22065353
26-09-2019 11:00,23.65778351
26-09-2019 12:00,35.18487167
26-09-2019 13:00,50.0691452
26-09-2019 14:00,61.89326859
26-09-2019 15:00,65.71990204
26-09-2019 16:00,63.89589691
26-09-2019 17:00,58.00455475
26-09-2019 18:00,49.43170929
26-09-2019 19:00,39.48038101
26-09-2019 20:00,31.62420464
26-09-2019 21:00,27.11155128
26-09-2019 22:00,25.34173012
26-09-2019 23:00,25.21231461
17-10-2019 00:00,61.24331665
17-10-2019 01:00,59.53657532
17-10-2019 02:00,60.66127777
17-10-2019 03:00,61.80648804
17-10-2019 04:00,61.43637085
17-10-2019 05:00,58.24282074
17-10-2019 06:00,51.62202835
17-10-2019 07:00,42.88944244
17-10-2019 08:00,36.1295929
17-10-2019 09:00,32.34725571
17-10-2019 10:00,32.17222595
17-10-2019 11:00,36.61698914
17-10-2019 12:00,46.13748169
17-10-2019 13:00,59.48981476
17-10-2019 14:00,71.09898376
17-10-2019 15:00,76.25476837
17-10-2019 16:00,76.82736969
17-10-2019 17:00,73.65161896
17-10-2019 18:00,67.55110931
17-10-2019 19:00,59.39194489
